t_rel_s,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6
0.5747,-1.7514853866381028,-1.9376081589056018,1.8070589685342637,-1.4611591713341052,-1.573979555439307,2.8824401333034904
0.5785,-1.7514600981996902,-1.9376573689532794,1.8072582154670414,-1.4611057488063284,-1.5740155735881975,2.8824660184302835
0.5826,-1.7514355574450562,-1.9377053581940822,1.8074370867260565,-1.461054939128258,-1.5740497775484104,2.8824915446682584
0.5866,-1.7514117502477038,-1.9377521139807474,1.8076113446280813,-1.4610066170414129,-1.5740822905396072,2.8825166920635987
0.5907,-1.7513886618753114,-1.9377976289674514,1.8077939128394585,-1.460960661861883,-1.5741132255271035,2.8825414430553504
0.5946,-1.751366277098891,-1.9378419006106202,1.8079831848929293,-1.4609169575561929,-1.574142686214105,2.8825657823445807
0.5983,-1.7513445802920111,-1.9379370233099902,1.8082814221767054,-1.4609415672499564,-1.5741712651080233,2.882550090255228
0.6025,-1.7513235555230353,-1.9380305022157376,1.8085922207817684,-1.460964770031729,-1.5741985265094725,2.8825349246195504
0.6063,-1.751303186636024,-1.9381221772102457,1.8089122647811053,-1.4609866666759483,-1.5742245532126236,2.882520260218572
0.6104,-1.7512834573257245,-1.9382119122058756,1.8092384569009847,-1.4610073493680686,-1.5742494215802034,2.8825060734118537
0.6144,-1.751264351204692,-1.9382995935377032,1.8095679489555438,-1.4610269025460785,-1.5742732021254215,2.882492342021338
0.6186,-1.7512458518635368,-1.9383851283275475,1.8098981617304655,-1.4610454036492344,-1.5742959600341127,2.8824790452248714
0.6225,-1.7512279429247797,-1.9384684428453365,1.8102267953751658,-1.461062923785355,-1.574317755633954,2.8824661634585067
0.6264,-1.7512106080907794,-1.9385494808897776,1.8105518315555056,-1.4610795283264941,-1.5743386448167538,2.8824536783267685
0.6305,-1.751193831186174,-1.9386282022064867,1.8108715287111476,-1.46109527744152,-1.5743586794190512,2.8824414742696702
0.6344,-1.7512250846587496,-1.9387051626644278,1.8112627462756994,-1.4611690571232525,-1.5743779120262258,2.882429125107439
0.6385,-1.751254934992527,-1.938779757470926,1.8116466962374236,-1.4612384067127884,-1.5743963826986784,2.8824170152786412
0.6424,-1.7512834702883582,-1.9388519838886662,1.812021464473065,-1.4613036864461424,-1.5744141330528856,2.882405145452449
0.6464,-1.751310771783935,-1.9389218496543377,1.812385490970629,-1.4613652210668662,-1.5744312018385804,2.8823935158231526
0.6509,-1.7513369144762156,-1.9389893717247748,1.8127375424388887,-1.4614233038876043,-1.5744476251698767,2.88238212614604
0.6544,-1.7513619676796783,-1.9390545751079202,1.8130766821320272,-1.4614782003242417,-1.5744634367352321,2.8823709757717
0.6588,-1.7513859955277993,-1.939117491779317,1.8134022383501995,-1.4615301509789462,-1.5744786679884237,2.8823600636787434
0.9962,-1.7514090574242207,-1.9391781596834992,1.813713772803367,-1.4615793743362817,-1.5744933483224515,2.882349388504945
0.9968,-1.7522312636199822,-1.940282302395182,1.8211057273766287,-1.4674763432016225,-1.5746244474265465,2.880821180291134
0.9974,-1.7522764782025548,-1.9402968191798817,1.8213379149890978,-1.4677264935843477,-1.5746725758407096,2.8805609725399717
0.9980,-1.7523207809796715,-1.9403107563710436,1.8215569807080163,-1.4679660855271432,-1.5747204595101851,2.880302286244038
0.9985,-1.7523641438965247,-1.940324138965356,1.8217634028720133,-1.468195052751329,-1.574768004964916,2.880046461379654
0.9988,-1.7524065443169359,-1.9403369908721186,1.8219576944205618,-1.468413427215154,-1.5748151270097073,2.879794661894772
0.9990,-1.7524479646141315,-1.9403493349544543,1.8221403909868732,-1.4686213235300376,-1.5748617484641552,2.879547882474699
0.9993,-1.7524883917728564,-1.9403611930699352,1.8223120408891258,-1.4688189247406496,-1.5749077998680145,2.8793069575359325
0.9996,-1.7525278170049188,-1.940372586110479,1.8224731968254655,-1.4690064695078697,-1.5749532191589426,2.87907257183993
0.9998,-1.7525662353798206,-1.9403835340414064,1.8226244090795,-1.4691842406869668,-1.5749979513290011,2.878845272185024
1.0001,-1.752652939748749,-1.940557150678382,1.8228596773032428,-1.4695253892356535,-1.5750874206729721,2.878548858394737
1.0002,-1.7527383464251496,-1.940729586225806,1.8230815668193279,-1.4698521694723328,-1.5751765042523165,2.8782608585502114
1.0004,-1.7528223008402035,-1.9409001627065565,1.823290570789562,-1.470164243877202,-1.5752649493626922,2.877982053018542
1.0005,-1.7529046693761823,-1.9410682844631464,1.8234872173597023,-1.470461471184069,-1.5753525282009508,2.877713035541743
1.0008,-1.7529853381115157,-1.941233434945982,1.8236720574317262,-1.4707438762613119,-1.57543903711613,2.8774542326873576
1.0009,-1.75306421152399,-1.9413951727414076,1.8238456544014707,-1.4710116222975347,-1.5755242956908546,2.8772059231741824
1.0011,-1.7531412111745563,-1.9415531270367143,1.824008575658011,-1.471264985530458,-1.5756081456882818,2.8769682566180066
1.0012,-1.7532162743910993,-1.941706992698898,1.8241613856428964,-1.4715043326194366,-1.5756904498968802,2.8767412713576213
1.0014,-1.7533456117520607,-1.9421318424690546,1.8246814524578359,-1.4719197290249004,-1.5758249783491494,2.8763533439480895
1.0015,-1.753472726141683,-1.9425576475135262,1.8251800298083096,-1.4723155658420632,-1.5759580450059496,2.875979463318547
1.0016,-1.7535973360559156,-1.9429809676460503,1.8256558689331754,-1.4726915437330232,-1.5760892575932388,2.875620507303382
1.0017,-1.753719203088488,-1.9433988173641814,1.8261082084954832,-1.4730476333337932,-1.5762182736037902,2.875277066369467
1.0019,-1.7538381290262626,-1.943808657102336,1.8265367021221177,-1.4733840284951192,-1.5763447978337413,2.874949481138057
1.0021,-1.7539539528421464,-1.9442083742475893,1.8269413500089913,-1.4737011038558046,-1.5764685796330582,2.874637878358895
1.0023,-1.7540665476491737,-1.9445962565274244,1.8273224359373814,-1.4739993770056665,-1.5765894099587892,2.874342204641315
1.0025,-1.7541758176693905,-1.944970960141603,1.8276804704812308,-1.474279475266373,-1.576707118309369,2.8740622574892507
1.0027,-1.7542823256341973,-1.9457924584935713,1.8285583063176198,-1.4749539240730594,-1.5769476678490424,2.8737958250623183
1.0028,-1.7543853880655422,-1.9466029646938938,1.8293995536254357,-1.4755984535214266,-1.5771854910915462,2.8735444542731945
1.0030,-1.7544849830771156,-1.9473948133409695,1.8302001780282386,-1.476211128690923,-1.5774195652517944,2.8733076561868174
1.0031,-1.7545811090145784,-1.948161859385008,1.8309575653563268,-1.4767908156412586,-1.5776490148391256,2.87308488518667
1.0033,-1.754673781968906,-1.948899367666995,1.8316703048425569,-1.4773370534891268,-1.5778731037838662,2.872875555670315
1.0034,-1.7547630334563165,-1.9496038742093083,1.8323379797851043,-1.477849934271329,-1.5780912262523419,2.8726790561976014
1.0036,-1.7548489082697882,-1.9502730324475241,1.8329609731868186,-1.478329993308115,-1.578302896590153,2.8724947613266734
1.0037,-1.7549314625033698,-1.950905454982293,1.8335402929010485,-1.4787781115432197,-1.5785077387746984,2.872322041381315
1.0038,-1.7550107617473842,-1.9515005588421106,1.8340774184633275,-1.4791954303827068,-1.578705475697996,2.8721602703911158
1.0040,-1.75508688599868,-1.9525369421084164,1.83521316704091,-1.4799365538773057,-1.578897426817055,2.8720088136587885
1.0041,-1.755159908336804,-1.953521641756192,1.8362815813689408,-1.480633181017193,-1.579081942158731,2.8718670901017482
1.0042,-1.7552299136391178,-1.9544506752844777,1.8372800136108893,-1.4812851278314607,-1.579258972255476,2.871734517599784
1.0044,-1.7552969906585465,-1.9553218806674033,1.838207761876251,-1.4818929530065044,-1.5794285278135167,2.8716105356290695
1.0045,-1.7553612309768176,-1.9561345880971786,1.8390656526950344,-1.4824577908851968,-1.579590670933773,2.871494607223205
1.0046,-1.7554227280828882,-1.9568893150189564,1.8398556699871944,-1.4829812060828895,-1.5797455070340678,2.871386220242495
1.0047,-1.755481576566859,-1.9575874929453203,1.8405806359472527,-1.4834650697783935,-1.5798931774946856,2.8712848880762247
