t_rel_s,fx,fy,fz,tx,ty,tz
2.9324,-0.79651,5.39357,-1.67526,0.18332,0.11538,-0.09852
2.9427,-1.33914,4.98179,-1.25544,0.19106,0.11614,-0.09776
2.9527,-0.66470,5.01686,-0.93871,0.21296,0.10456,-0.09602
2.9626,-1.08063,4.53256,-0.97836,0.20641,0.10897,-0.09544
2.9725,-0.79045,4.91076,-1.28702,0.19317,0.11092,-0.09322
2.9825,-0.88568,4.05137,-0.64423,0.22797,0.10557,-0.10008
2.9928,-1.01705,4.35141,-1.39913,0.20059,0.12270,-0.09933
3.0024,-0.46573,4.81428,-1.56245,0.19754,0.11343,-0.09026
3.0124,-0.49911,4.23850,-1.06026,0.21725,0.10289,-0.09108
3.0224,-0.34132,4.89294,-0.96512,0.19658,0.10529,-0.08660
3.0323,-0.98312,4.98506,-1.55643,0.18345,0.10958,-0.09012
3.0425,-0.80175,3.49343,-0.33759,0.22583,0.11252,-0.09254
3.0526,-0.60894,4.71872,-0.31026,0.18557,0.12741,-0.08496
3.0624,-0.97240,5.04790,-0.97864,0.18294,0.10891,-0.07861
3.0726,-0.64038,4.27025,-1.09649,0.21637,0.12279,-0.07864
3.0828,-0.37577,3.37374,-0.27535,0.21138,0.11620,-0.06985
3.0925,-0.38426,3.38033,-0.68595,0.22577,0.11174,-0.05145
3.1022,-0.49593,3.42000,-1.21503,0.22258,0.13337,-0.03806
3.1127,-0.35733,3.06658,-0.78076,0.22448,0.10877,-0.02584
3.1225,-0.08174,3.35267,-0.29271,0.22700,0.11817,-0.00835
3.1323,-0.18953,3.51610,-0.44685,0.20488,0.12373,0.01098
3.1424,-0.58075,3.28694,-0.16992,0.20978,0.11672,0.03040
3.1528,-0.49561,3.71061,0.09417,0.19742,0.13479,0.04056
3.1625,-0.27332,3.38995,-0.04003,0.20348,0.11183,0.05980
3.1724,-0.27206,3.97800,-0.42127,0.18189,0.10954,0.07333
3.1825,-0.66014,3.36681,0.32804,0.19935,0.11831,0.09430
3.1925,-0.42907,4.20736,-0.40074,0.17437,0.12941,0.11221
3.2027,-0.07389,4.15573,-0.11853,0.17768,0.12985,0.09938
3.2125,-1.06221,3.93800,0.17693,0.17252,0.12039,0.10000
3.2224,-0.11343,4.24728,-0.06757,0.17128,0.14299,0.09698
3.2323,-0.27094,4.38994,-0.38673,0.16113,0.13229,0.10271
3.2428,-0.46291,4.61756,-0.18920,0.17414,0.11845,0.09799
3.2524,0.06763,3.70631,0.15436,0.18223,0.13670,0.09699
3.2627,-0.48899,3.99355,-0.49243,0.17872,0.13251,0.09661
3.2728,-0.40367,3.92612,-0.37748,0.16699,0.12488,0.09765
3.2825,-0.37763,3.72444,0.01255,0.18242,0.13101,0.09886
3.2924,-0.29429,3.36185,-0.04783,0.17407,0.13468,0.09237
3.3025,-0.63275,4.30066,-0.75455,0.15444,0.12690,0.09357
3.3128,-0.42001,3.88843,-0.15604,0.17725,0.12227,0.09251
3.3227,-0.02440,3.63300,-0.05071,0.18083,0.12332,0.09681
3.3325,-0.62291,4.21836,-0.49136,0.15349,0.10834,0.09547
3.3424,-0.90140,4.12541,-0.27001,0.15918,0.10646,0.09085
