t_rel_s,x,y,z,qx,qy,qz,qw
1.7791,0.170707,0.427554,0.633475,0.194849,0.978745,0.060169,0.021732
1.7896,0.170956,0.427552,0.632682,0.194872,0.978801,0.058905,0.022458
1.7991,0.171220,0.427554,0.631764,0.194915,0.978859,0.057484,0.023212
1.8093,0.171473,0.427527,0.630832,0.194940,0.978921,0.056028,0.023938
1.8193,0.171732,0.427515,0.629786,0.194964,0.978984,0.054511,0.024642
1.8294,0.171977,0.427500,0.628599,0.194984,0.979060,0.052803,0.025195
1.8390,0.172207,0.427465,0.627312,0.195009,0.979134,0.051065,0.025697
1.8492,0.172419,0.427435,0.626020,0.195036,0.979206,0.049365,0.026082
1.8592,0.172638,0.427424,0.624722,0.195089,0.979269,0.047723,0.026361
1.8694,0.172813,0.427441,0.623502,0.195101,0.979335,0.046227,0.026504
1.8791,0.172955,0.427447,0.622412,0.195097,0.979393,0.044931,0.026610
1.8892,0.173093,0.427444,0.621436,0.195135,0.979436,0.043797,0.026637
1.8991,0.173198,0.427461,0.620508,0.195137,0.979483,0.042758,0.026565
1.9092,0.173298,0.427509,0.619632,0.195169,0.979522,0.041824,0.026403
1.9193,0.173403,0.427596,0.618683,0.195149,0.979573,0.040879,0.026122
1.9295,0.173494,0.427669,0.617690,0.195147,0.979624,0.039901,0.025753
1.9391,0.173614,0.427795,0.616580,0.195157,0.979676,0.038850,0.025281
1.9492,0.173712,0.427938,0.615396,0.195138,0.979737,0.037754,0.024713
1.9590,0.173834,0.428083,0.614104,0.195162,0.979793,0.036562,0.024101
1.9693,0.173924,0.428215,0.612763,0.195155,0.979857,0.035318,0.023412
1.9791,0.174038,0.428347,0.611461,0.195178,0.979909,0.034140,0.022791
1.9893,0.174115,0.428475,0.610188,0.195146,0.979970,0.032954,0.022174
1.9994,0.174220,0.428573,0.608934,0.195179,0.980014,0.031802,0.021586
2.0090,0.174285,0.428680,0.607761,0.195140,0.980069,0.030705,0.021038
2.0193,0.174393,0.428786,0.606628,0.195146,0.980110,0.029653,0.020562
2.0290,0.174412,0.428859,0.605637,0.195133,0.980150,0.028708,0.020140
2.0394,0.174475,0.428946,0.604661,0.195098,0.980192,0.027777,0.019729
2.0495,0.174490,0.429019,0.603756,0.195057,0.980232,0.026917,0.019343
2.0591,0.174490,0.429092,0.602920,0.194987,0.980273,0.026124,0.019018
2.0691,0.174458,0.429137,0.602154,0.194932,0.980310,0.025370,0.018692
2.0793,0.174453,0.429211,0.601435,0.194858,0.980347,0.024709,0.018419
2.0889,0.174433,0.429256,0.600701,0.194788,0.980385,0.024004,0.018096
2.0991,0.174407,0.429293,0.600005,0.194731,0.980417,0.023350,0.017797
2.1091,0.174387,0.429354,0.599299,0.194679,0.980449,0.022684,0.017467
2.1194,0.174391,0.429439,0.598528,0.194626,0.980481,0.022002,0.017113
2.1292,0.174369,0.429519,0.597661,0.194544,0.980523,0.021170,0.016720
2.1393,0.174360,0.429594,0.596808,0.194482,0.980558,0.020388,0.016335
2.1495,0.174375,0.429697,0.595861,0.194420,0.980596,0.019508,0.015878
2.1590,0.174352,0.429783,0.594877,0.194331,0.980638,0.018602,0.015426
2.1695,0.174319,0.429876,0.593857,0.194231,0.980684,0.017639,0.014921
2.1793,0.174296,0.429990,0.592833,0.194144,0.980725,0.016698,0.014447
2.1891,0.174240,0.430149,0.591819,0.193995,0.980777,0.015743,0.013968
