t_rel_s,gello_grip,grip_cmd,grip_pos
5.5238,0.0000,,0.0118
5.5573,0.0000,,0.0118
5.5906,0.0000,,0.0118
5.6241,0.0000,,0.0118
5.6573,0.0000,,0.0118
5.6580,0.0000,,0.0118
5.6909,0.0000,,0.0118
5.7240,0.0000,,0.0118
5.7571,0.0000,,0.0118
5.7907,0.0000,,0.0118
5.8244,0.0000,,0.0118
5.8573,0.0000,,0.0118
5.8581,0.0000,,0.0118
5.8906,0.0000,,0.0118
5.9239,0.0000,,0.0118
5.9573,0.0000,,0.0118
5.9905,0.0000,,0.0118
6.0241,0.0000,,0.0118
6.0572,0.0000,,0.0118
6.0583,0.0000,,0.0118
6.0906,0.0000,,0.0118
6.1241,0.0000,,0.0118
6.1572,0.0000,,0.0118
6.1904,0.0000,,0.0118
6.2246,0.0000,,0.0118
6.2573,0.0000,,0.0118
6.2580,0.0000,,0.0118
6.2906,0.0000,,0.0118
6.3241,0.0000,,0.0118
6.3571,0.0000,,0.0118
6.3905,0.0000,,0.0118
6.4242,0.0000,,0.0118
6.4572,0.0000,,0.0118
6.4580,0.0000,,0.0118
6.4906,0.0000,,0.0118
6.5241,0.0000,,0.0118
6.5574,0.0000,,0.0118
6.5908,0.0000,,0.0118
6.6240,0.0000,,0.0118
6.6572,0.0000,,0.0118
6.6578,0.0000,,0.0118
6.6906,0.0000,,0.0118
6.7239,0.0000,,0.0118
6.7572,0.0000,,0.0118
6.7904,0.0000,,0.0118
6.8241,0.0000,,0.0118
6.8573,0.0000,,0.0118
6.8580,0.0000,,0.0118
6.8906,0.0000,,0.0118
6.9251,0.0000,,0.0118
6.9571,0.0000,,0.0118
6.9905,0.0000,,0.0118
7.0240,0.0000,,0.0118
7.0578,0.0000,,0.0118
7.0580,0.0000,,0.0118
7.0905,0.0000,,0.0118
7.1240,0.0000,,0.0118
7.1572,0.0000,,0.0118
7.1907,0.0000,,0.0118
7.2250,0.0000,,0.0118
7.2574,0.0000,,0.0118
7.2582,0.0000,,0.0118
7.2907,0.0000,,0.0118
7.3249,0.0000,,0.0118
7.3573,0.0000,,0.0118
7.3907,0.0000,,0.0118
7.4241,0.0000,,0.0118
7.4572,0.0000,,0.0118
7.4582,0.0000,,0.0118
7.4905,0.0000,,0.0118
7.5240,0.0000,,0.0118
7.5576,0.0000,,0.0118
7.5906,0.0000,,0.0118
7.6239,0.0000,,0.0118
7.6573,0.0000,,0.0118
7.6580,0.0000,,0.0118
7.6906,0.0015,,0.0118
7.7241,0.0015,,0.0118
7.7574,0.0015,,0.0118
7.7908,0.0015,,0.0118
7.8241,0.0015,,0.0118
7.8573,0.0015,,0.0118
7.8584,0.0015,,0.0118
7.8906,0.0015,,0.0118
7.9240,0.0015,,0.0118
7.9571,0.0015,,0.0118
7.9906,0.0015,,0.0118
8.0242,0.0015,,0.0118
8.0572,0.0015,,0.0118
8.0585,0.0015,,0.0118
8.0906,0.0015,,0.0118
8.1241,0.0015,,0.0118
8.1572,0.0015,,0.0118
8.1907,0.0015,,0.0118
8.2241,0.0036,,0.0118
8.2573,0.0099,,0.0118
8.2580,0.0099,,0.0118
8.2906,0.0203,,0.0118
